,Railway word/phrase - English,German (ÖBB),Hungarian (MAV),en2de,en2hu,de2en,de2hu,hu2en,hu2de
26,brake disturbance,bremsstörung,fékhiba,bremsstörung,fék zavar,brake failure,fékhiba,brake failure,bremsversagen
27,brake test,bremsprobe,fékpróba,bremstest,fékvizsgálat,brake test,fékpadon,braking test,bremstest
28,brake weight,bremsgewicht,féksúly,bremsgewicht,féktömeg,braking weight,fékezés súly,brake weight,bremsgewicht
29,breakdown of engine/traction unit,untaugliches(r) triebfahrzeug/triebwagen,mozdony szolgálatképtelen,ausfall motor / triebfahrzeug,a motor / vontató egység bontása,disabled locomotive / railcar,mozgássérült mozdony / vasút,locomotive unserviceable,lokomotive unbrauchbar
30,braking calculation,bremsrechnung,megfékezettség számítás,bremsberechnung,fékezési számítás,brake bill,fék számla,calibration calculation,kalibrierungsberechnung
31,cancelled trains,ausgefallene züge,törölt vonatok,annullierte züge,megszakított vonatok,fancy trains,képzeletbeli vonatok,deleted trains,gelöschte züge
32,capacity consequences,kapazitätskonsequenzen,kapacitás következmények,kapazitätsfolgen,kapacitás következmények,capacity consequences,kapacitás következményei,capacity consequences,kapazitätsfolgen
33,capactity reduction,kapazitätseinschränkung,kapacitás csökkentés,kapazitätsreduzierung,kapacitáscsökkentés,capacity constraint,kapacitás korlát,capacity reduction,kapazitätsreduzierung
34,catenary,oberleitung,felsővezeték,oberleitung,láncolat,catenary,láncolat,catenary,catenary
35,change in train service,änderung im betriebsablauf,változás a vonat szolgáltatásában,wechsel im zugverkehr,a vasúti szolgáltatás változása,change in operation,működési változás,change in train service,wechsel im zugverkehr
36,change of type of traction,wechsel der traktionsart,vontatási nem változása,wechsel der traktionsart,a vontatás típusa,change of traction type,a vontatási típus módosítása,towing is not a change,abschleppen ist keine veränderung
37,clarify,abklären,tisztázni,klären,tisztázza,clarify,tisztázni,to clarify,geklärt
38,closed section,gesperrter abschnitt,elzárt szakasz,geschlossener abschnitt,zárt szakasz,locked section,zárolt szakasz,closed section,geschlossener abschnitt
39,closed track,gesperrtes gleis,elzárt vágány,geschlossene strecke,zárt pálya,locked track,zárolt pálya,closed track,geschlossene strecke
40,closure by authorities,behördliche sperre,hatósági lezárás,schließung durch behörden,a hatóságok bezárása,official lock,hivatalos zár,authority closure,behördenschließung
41,collapsed catenary,zusammenbruch des oberleitungsnetzes,leszakadt felsővezeték,eingeklappte oberleitung,összecsukott kontaktvezeték,collapse of the trolley network,a kocsihálózat összeomlása,dismantled overhead line,demontierte freileitung
42,colllision,zusammenstoss,gázolás,kollision,colllision,collision,ütközés,collision,kollision
43,collision with objects in the track area,zusammenstösse mit gegenständen im gleisbereich,ütközés tárgyakkal a vágány mentén,kollision mit objekten im gleisbereich,összeütközés a sávban lévő objektumokkal,clashes with items in the track area,összegyűjti a sávban lévő elemekkel,collision with objects along the track,kollision mit objekten entlang der strecke
44,combined rail transport,kombinierter ladungsverkehr ,kombinált vasúti fuvarozás,kombinierter schienenverkehr,kombinált vasúti szállítás,combined cargo traffic,kombinált teherszállítás,combined rail transport,kombinierter schienenverkehr
45,composition,zusammensetzung,összeállítás,zusammensetzung,összetétel,composition,összetétel,compilation,kompilation
46,confirmation,bestätigung,jóváhagyás,bestätigung,megerősítés,confirmation,megerősítés,approval,genehmigung
47,congested line,überfüllte strecke,túlterhelt vasútvonal,überfüllte leitung,feszített vonal,crowded track,zsúfolt pálya,overloaded railway line,überladene eisenbahnlinie
48,connecting trains,anschlusszüge,csatlakozó vonatok,anschlusszüge,csatlakozó vonatok,connecting trains,vonatcsatlakozások,connecting trains,anschlusszüge
49,consignee,warenempfänger,címzett,empfänger,címzett,consignee,címzett,addressee,empfänger
50,consignment,"lieferung, warensendung",küldemény,sendung,küldemény,"delivery, consignment","szállítás, szállítmányozás",package,sendung
51,construction works,instandsetzungsarbeiten,építési munkák,bauarbeiten,építési munkák,repairs,javítások,construction work,bauarbeiten
52,contingency plan,notfallplan,veszélyhelyzeti terv,notfallplan,készenléti terv,emergency plan,vészhelyzeti terv,emergency plan,notfallplan
53,coupled/ to couple,"gekuppelt, kuppeln",kapcsolt/kapcsolni,gekoppelt / zu koppeln,csatolt / páros,"coupled, couple","párosítva, pár",switched / contact,switched / kontakt
54,crisis situation,krisensituation,krízishelyzet,krisensituation,válsághelyzet,crisis situation,válsághelyzet,crisis situation,krisensituation
55,critical traction power supply,kritische bahnstromversorgung,kritikus vontatási energiaellátás,kritische bahnstromversorgung,kritikus vontatási áramellátás,critical traction power supply,kritikus vontatási tápegység,critical traction energy supply,kritische traktionsenergieversorgung
56,damages caused by vandalism,schaden durch vandalismus,vandalizmusból eredő sérülések,schäden durch vandalismus,a vandalizmus által okozott károk,damage due to vandalism,a vandalizmus okozta kár,injuries resulting from vandalism,verletzungen durch vandalismus
57,danger / no danger,"gefahr, keine gefahr",veszély/nincs veszély,gefahr / keine gefahr,veszély / nincs veszély,"danger, no danger","veszély, nincs veszély",danger / no danger,gefahr / keine gefahr
58,dangerous goods,gefährliche güter,veszélyes áru,gefahrgut,veszélyes áruk,dangerous goods,veszélyes áruk,dangerous goods,gefährliche güter
59,dangerous goods wagons,gefahrgutwagen,veszélyes áruval rakott kocsi,gefahrgutwagen,veszélyes áruszállító kocsik,dangerous goods cars,veszélyes áruk autók,dangerous goods trolley,gefahrgutwagen
60,defective buffers,defekte puffer,sérült ütközők,defekte puffer,hibás pufferek,defective buffers,hibás pufferek,damaged bumpers,beschädigte stoßstangen
61,delay,verspätung,késés,verzögern,késleltetés,delay,késés,delay,verzögerung
62,delayed trains,verspätete züge,késett vonatok,verspätete züge,késleltetett vonatok,delayed trains,késleltetett vonatok,delayed trains,verspätete züge
63,damage to the population and the environment,schäden der bevölkerung und der umwelt,lakosságot érintő és természeti károk,schäden für bevölkerung und umwelt,a lakosság és a környezet károsodása,damage to the population and the environment,a lakosság és a környezet károsodása,natural and natural damage,natürlicher und natürlicher schaden
64,damaged railway infrastructure,beschädigte eisenbahninfrastrukturen,sérült vasúti infrastruktúra,beschädigte eisenbahninfrastruktur,sérült vasúti infrastruktúra,damaged railway infrastructure,sérült vasúti infrastruktúra,damaged railway infrastructure,beschädigte eisenbahninfrastruktur
65,damaged railway vehicle,beschädigte eisenbahnfahrzeuge,sérült vasúti jármű,beschädigtes schienenfahrzeug,sérült vasúti jármű,damaged railway vehicles,sérült vasúti járművek,damaged railway vehicle,beschädigtes schienenfahrzeug
66,damaged road vehicles,beschädigte strassenfahrzeuge,sérült közúti jármű,beschädigte straßenfahrzeuge,sérült közúti járművek,damaged road vehicles,sérült közúti járművek,damaged road vehicle,beschädigtes straßenfahrzeug
67,departure,abfahrt,indulás,abfahrt,indulás,departure,kijárat,departures,abflug
68,departure time,abfahrtszeit,indulási idő,abfahrtszeit,indulási idő,departure time,indulási idő,departure time,abfahrtszeit
69,derailment,entgleisung,siklás,entgleisung,kisiklás,derailment,kisiklás,glide,gleitflug
70,derailed of railway vehicles,entgleiste eisenbahnfahrzeuge,siklott vasúti járművek,von schienenfahrzeugen entgleist,vasúti járművek kisiklása,derailed railway vehicles,vasúti járművek,gliding rail vehicles,gleitende schienenfahrzeuge
71,different time at border point,unterschiedliche zeit am grenzbahnhof,más idő a határponton,unterschiedliche zeit am grenzpunkt,más határidő a határponton,different time at the border station,más idő a határállomáson,another time at the border,ein anderes mal an der grenze
72,nonfunction of the train running control,nichtansprechen der zugbeeinflussung,vonatközlekedés irányítás nem működik,ausfall der zugbeeinflussung,a vonat futásának ellenőrzése,non-appeal of train control,a vonatirányítás fellebbezése,train control is not working,die zugsteuerung funktioniert nicht
73,disconnected or earthed track sections,ausgeschaltete bzw. geerdete gleisabschnitte,feszültségmentesített szakasz,nicht angeschlossene oder geerdete gleisabschnitte,leválasztott vagy földelt sínszakaszok,disconnected or grounded track sections,leválasztott vagy földelt pályaszakaszok,disengaged section,abschnitt gelöst
74,dispatch center,betriebsführungszentrale,üzemirányító központ,versandzentrum,küldő központ,management center,menedzsment központ,operational control center,betriebszentrale
75,dispatcher,"zuglenker, betriebskoordinator",üzemirányító,dispatcher,diszpécser,"zuglenker, operations coordinator","zuglenker, műveleti koordinátor",operation management,betriebsführung
76,display /to display/ notice,anzeige/darstellen/ankündigung,értesítés megjelenítése,anzeige / anzeige / hinweis,kijelzés / megjelenítés / értesítés,/ view ad / announcement,/ nézet hirdetés / közlemény,show notification,benachrichtigung anzeigen
77,disturbance,störung,zavar,störung,zavarás,disorder,rendetlenség,confusion,störung
78,disturbance to safety devices,störung an der sicherheitseinrichtung,biztonsági berendezések zavara,störung von sicherheitseinrichtungen,a biztonsági berendezések zavarai,fault at the safety device,hiba a biztonsági berendezésnél,malfunction of security equipment,fehlfunktion der sicherheitsausrüstung
79,double-track,zweigleisig,kétvágányú pálya,doppelspur,kétvágányú,double track,kétvágányú,two track track,zweispurige strecke
80,driver,triebfahrzeugführer,mozdonyvezető,treiber,sofőr,train drivers,a mozdonyvezetők,engine driver,lokomotivführer
81,driver's cab,führerstand,vezetőfülke,fahrerkabine,vezetőfülke,cab,taxi,cab,taxi
82,driving staff,fahrpersonal,mozdonyszemélyzet,fahrpersonal,vezetési személyzet,drivers,illesztőprogramok,engine crew,motor crew
83,duration,dauer,időtartam,dauer,tartam,duration,tartam,period,zeit
84,electric brake,elektrische bremse,villamos fék,elektrische bremse,elektromos fék,electric brake,elektromos fék,electric brake,elektrische bremse
85,electric power suppy equipment,stromversorgungsausrüstung,elektromos áramellátó berendezés,stromversorgung ausrüstung,elektromos tápegységek,power equipment,power equipment,electric power supply equipment,stromversorgungsanlagen
86,emergency locomotive,hilfslok,segélymozdony,notlokomotive,vészhelyzeti mozdony,hilfslok,hilfslok,aid locomotive,hilfe lokomotive
87,emergency stop station,nothaltestelle,veszélyhelyzeti tartózkodási állomás,not-aus-station,vészleállító állomás,emergency station,sürgősségi állomás,emergency station,notfallstation
88,encounter ban,begegnungsverbot,ellenmenet-kizárás,begegnungsverbot,találkozás tilalom,encounter ban,találkozás tilalmat,running against exclusion,laufen gegen ausgrenzung
89,end station,endstation,rendeltetési állomás,endstation,végállomás,final destination,végállomás,destination station,zielbahnhof
90,endangerment,gefährdung,veszélyeztetés,gefährdung,veszélyeztetettség,endangering,veszélyeztetése,threat,bedrohung
91,entire network,gesamtes netz,teljes hálózat,das ganze netzwerk,teljes hálózat,entire network,teljes hálózat,full network,volles netzwerk
92,estimated border time,geschätzte grenzzeit,várható idő a határon,geschätzte grenzzeit,becsült határidő,estimated time limit,becsült határidő,expected time at the border,erwartete zeit an der grenze
93,estimated delay,geschätzte verspätung,várható késés,voraussichtliche verspätung,becsült késedelem,estimated delay,becsült késedelem,expected delay,erwartete verspätung
94,estimated duration of break down,geschätzte dauer der störung,a hiba várható időtartama,geschätzte dauer der panne,a lebontás becsült időtartama,estimated duration of the disturbance,a zavar becsült időtartama,the expected duration of the error,die erwartete dauer des fehlers
95,estimated duration of the incident,geschätzte dauer des vorfalls,az esemény várható időtartama,geschätzte dauer des vorfalls,az esemény becsült időtartama,estimated duration of the incident,az esemény becsült időtartama,expected duration of the event,voraussichtliche dauer der veranstaltung
96,estimated time at border point,geschätzte zeit der ankunft,várható idő a határponton,geschätzte zeit am grenzpunkt,becsült idő a border pointnál,estimated time of arrival,becsült érkezési idő,expected time at the border point,erwartete zeit am grenzpunkt
97,estimated time of arrival,geschätzte zeit am grenzbahnhof,várható érkezési idő,voraussichtliche ankunftszeit,tervezett érkezési időpont,estimated time at the border station,becsült idő a határállomáson,expected arrival time,erwartete ankunftszeit
98,estimated time of handover,geschätzte zeit der übergabe,várható átadási idő,voraussichtlicher zeitpunkt der übergabe,az átadás becsült ideje,estimated time of delivery,becsült szállítási idő,expected delivery time,voraussichtliche lieferzeit
99,etcs perturbation,etcs-störung,etcs zavar,etcs-störung,etcs zavar,etcs disorder,etcs disorder,etcs disruption,etcs-störung
100,exceeding the load profile,lademassüberschreitung,rakszelvényen túlérő,überschreitung des lastprofils,a terhelési profil túllépése,loading gauge exceeding,rakszelvényre meghaladó,oversized on a gauge,überdimensioniert auf einer lehre
101,exceptional transit,aussergewöhnliche sendung,rendkívüli küldemény,außergewöhnlicher transit,rendkívüli tranzit,exceptional shipment,kivételes szállítás,extraordinary shipment,außerordentlicher versand
102,exit signal,ausfahrsignal,kijárati jelző,ausgangssignal,kilépési jel,ausfahrsignal,ausfahrsignal,exit indicator,ausgangsanzeige
103,extra ordinary stop,ausserordentlicher halt,rendkívüli megállás,außergewöhnlicher halt,extra rendes megállás,extraordinary hold,rendkívüli tartás,extraordinary stop,außergewöhnlicher halt
104,extra ordinary transport,ausserordentliche durchfahrt,rendkívüli küldemény,außergewöhnlicher transport,extra rendes szállítás,extraordinary transit,rendkívüli tranzit,extraordinary shipment,außerordentlicher versand
105,fallback mode applied,rückfallmodus verwenden,csökkentett üzemmód alkalmazva,fallback-modus angewendet,fallback mód alkalmazása,use fallback mode,használjon kiegészítő módot,reduced mode applied,reduzierter modus angewendet
106,fire,feuer,tűz,feuer,tűz,fire,tűz,fire,feuer
107,fire-brigade-operation,feuerwehreinsatz,tűzoltó szolgálat,feuerwehr-einsatz,tűzoltó-művelet,fire services,tűzoltóság,fire service,feuerwehr
108,fire-fighting and rescue train,lösch- und rettungszug,tűzoltóvonat,feuerwehr- und rettungszug,tűzoltó és mentő vonat,extinguishing and rescue train,tűzoltó és mentő vonat,firefighter train,feuerwehr~~pos=trunc zug
109,fire in the train,brand im zug,vonattűz,feuer im zug,tűz a vonaton,fire on the train,tűz a vonaton,train fire,zug feuer
110,flood,flut,árvíz,flut,árvíz,flood,árvíz,flooding,flut
111,forecast,vorhersage,előrejelzés,prognose,előrejelzés,forecast,előrejelzés,forecast,prognose
112,forecasted time at border,vorhergesagte zeit am grenzübergang,előre jelzett idő a határon,voraussichtliche zeit an der grenze,előrejelzett idő a határon,predicted time at the border crossing,előrejelzett idő a határátkelőhelyen,predicted time at the border,voraussichtliche zeit an der grenze
113,foreign object,fremdkörper,idegen tárgy,fremdes objekt,idegen tárgy,foreign body,idegen test,foreign object,fremdkörper
114,freight train,güterzug,tehervonat,güterzug,tehervonat,freight train,tehervonat,goods train,güterzug
115,global consequences,globale konsequenzen,átfogó következmény,globale konsequenzen,globális következmények,global consequences,globális következmények,overall consequence,gesamtfolge
116,goods,güter,áru,waren,áruk,goods,áruk,goods,waren
117,handover point,übergabe-punkt,pályavasúti határpont,übergabepunkt,átadási pont,transfer point,transfer pont,railway station border point,grenzübergang zum bahnhof
118,high-speed rail,hochgeschwindigkeitsstrecke,nagysebességű pálya,hochgeschwindigkeitszug,nagy sebességű vasút,high-speed rail,a nagysebességű vasúti,high speed track,hochgeschwindigkeitsstrecke
119,high-speed train,hochgeschwindigkeitszug,nagysebességű vonat,hochgeschwindigkeitszug,gyorsvonat,high speed train,nagy sebességű vonat,high speed train,hochgeschwindigkeitszug
120,incident ,vorfall,esemény,vorfall,incidens,incident,incidens,event,ereignis
121,industrial action,arbeitskampf,ipari tevékenység,arbeitskampf,ipari tevékenység,labor dispute,munkaügyi vita,industrial activity,industrielle tätigkeit
122,information,information,információ,information,információ,information,információ,information,informationen
123,infrastructure installation failure ,infrastruktur-montage-fehler,pályavasúti berendezés hibája,fehler bei der installation der infrastruktur,infrastruktúra telepítési hiba,infrastructure installation error,az infrastruktúra telepítési hiba,pathway equipment failure,pathway-geräteausfall
124,infrastructure manager,infrastrukturbetreiber,pályahálózat-működtető,infrastruktur-manager,infrastruktúra-kezelő,infrastructure manager,infrastruktúra menedzser,infrastructure-actuator,infrastruktur-aktor
125,interchange point,übergabe-punkt,vasúti társaságok átadási helye,austauschpunkt,cserepont,transfer point,transfer pont,place of transfer of railway companies,ort der übertragung von eisenbahnunternehmen
126,interlocking system,stellwerk,biztosító berendezés,verriegelungssystem,rögzítő rendszer,signal box,jelzőbódé,security equipment,sicherheitsausrüstung
127,interlocking system fault,stellwerkstörung,biztosító berendezési hiba,systemverriegelungsfehler,záró rendszer hibája,interlocking disorder,egymásba rendellenesség,security fitting fault,sicherheitsbeschlagfehler
128,intermediate point,übergabe-punkt,közbenső pont,zwischenpunkt,közbenső pont,transfer point,transfer pont,intermediate point,zwischenpunkt
129,intermodal transport,container verkehr,intermodális szállítás,intermodaler verkehr,intermodális szállítás,container traffic,konténerforgalom,intermodal transportation,intermodaler verkehr
130,international traffic,zusammenbruch ins oberleitungsnetzes,nemzetközi forgalom,internationaler verkehr,nemzetközi forgalom,collapse into the overhead line network,összeomlik a felsővezeték-hálózatba,international traffic,internationaler verkehr
131,interruption point,unterbrechungsort,a vonat közlekedés megszakadásának helye,unterbrechungsstelle,megszakítási pont,unterbrechungsort,unterbrechungsort,place of interruption of train traffic,ort der unterbrechung des zugverkehrs
132,interruption time,unterbrechungszeit,a vonat közlekedés megszakadásának ideje,unterbrechungszeit,megszakítási idő,interruption time,megszakítási idő,time for train interruption,zeit für zugunterbrechung
133,kilometre point,zusammenbruch kis oberleitungsnetzes,szelvény,kilometerpunkt,kilométerpont,breakdown kis trolley network,a kis trolibusz hálózat megszakítása,section,abschnitt
134,landslide,erdrutsch,földcsuszamlás,erdrutsch,földcsuszamlás,landslide,földcsuszamlás,landslide,erdrutsch
135,lead railway undertaking,führendes eisenbahnverkehrsunternehmen,fő vállalkozó vasúti társaság,führendes eisenbahnunternehmen,vezető vasúttársaság,leading railway company,vezető vasúttársaság,main contractor railway company,hauptauftragnehmer eisenbahngesellschaft
136,level crossing,eisenbahnkreuzung,útátjáró,bahnübergang,vasúti átjáró,railroad crossing,vasúti átjáróhoz,gateway road,gateway-straße
137,level crossing and traffic control systems,bahnübergangs- und verkehrsregelungsanlagen,útátjáró automatikus vezérlés,bahnübergangs- und verkehrskontrollsysteme,szintbeli átkelés és forgalomirányítási rendszerek,level crossing and traffic control systems,szintbeli átkelés és forgalomirányítási rendszerek,gateway automatic control,gateway automatische steuerung
138,level crossing out of service,bahnüberganganlage ausser betrieb,útátjáró üzemen kívül,bahnübergang außer betrieb,szintbeli átkelés a szolgálatból,level crossing system out of service,szintbeli átkelő rendszer nem működik,pathway out of operation,weg außer betrieb
139,line from,strecke von,vonal -tól,linie von,vonal,stretch of,nyújtás,line from,linie von
140,line to,strecke nach,vonal -ig,linie zu,vonalak,route to,útvonal,line up,aufstellung
141,loaded train,beladener zug,rakott vonat,beladener zug,betöltött vonat,loaded train,betöltött vonat,stacked train,gestapelter zug
142,loco,triebfahrzeug,mozdony,lok,loco,train,vonat,locomotive,lokomotive
143,loco type,lok-type,mozdonysorozat,loktyp,loco típus,lok type,lok típusa,locomotive series,lok-serie
144,locomotives,lok,mozdonyok,lokomotiven,mozdonyok,loco,mozdony,locomotives,lokomotiven
145,locomotive failure / locomotive malfunction,triebfahrzeugstörung,vontatójármű zavara,lokversagen / lokstörung,mozdonyhiba / mozdony meghibásodása,locomotive disorder,mozgásszervi betegségek,trailer breakdown,trailer panne
146,loss of radio data connection,datenfunkausfall,hiba a rádiókapcsolatban,verlust der funkdatenverbindung,a rádiós adatkapcsolat elvesztése,data radio failure,rádiós adatátviteli hiba,error in radio communication,fehler in der funkkommunikation
147,maintenance,erhaltung,fenntartás,instandhaltung,karbantartás,conservation,megőrzés,maintenance,reservierung
148,main track,hauptgleis,fővágány,hauptstrecke,főbb pálya,main track,fő pályán,main track,hauptgleis
149,malicious act,bahnfrevel,szándékos károkozás,böswillige handlung,rosszindulatú törvény,railway crime,vasúti bűnözés,intentional damage,vorsätzliche beschädigung
150,marshalling ,verschub,rendezés,marshalling,rendező-,shunting,tolató,sort by,sortieren nach
151,maximum speed,höchstgeschwindigkeit,legnagyobb sebesség,maximale geschwindigkeit,maximális sebesség,top speed,végsebesség,highest speed,höchste geschwindigkeit
152,measure,maßnahme,intézkedés,messen,intézkedés,measure,intézkedés,measure,messen
153,national safety authority,nsa,nemzeti közlekedési hatóság,nationale sicherheitsbehörde,nemzeti biztonsági hatóság,nsa,nsa,national transport authority,nationale verkehrsbehörde
154,natural hazards,naturgefahren,természeti veszély,natürliche gefahren,természeti veszélyek,natural hazards,természeti veszélyek,natural danger,naturgefahr
155,notice of a track closure,anzeige einer gleissperrung,értesítés vágányzárról,bekanntmachung einer gleisschließung,értesítés a pálya bezárásáról,display of a track lock,műsorszám zárolása,track lock notification,benachrichtigung über sperre verfolgen
156,observations,beobachtungen/überwachungen,észrevételek,beobachtungen,megfigyelések,observations / monitoring,megfigyelések / felügyeleti,comments,kommentare
157,obstruction on the track,hindernis auf der strecke,vágány elzárva,hindernis auf der strecke,akadály a pályán,obstacle on the track,az akadály a pályán,track closed,track geschlossen
158,occupied track,besetztes gleis,foglalt vágány,belegte strecke,foglalt pálya,busy track,foglalt pálya,busy track,belebte strecke
159,on time,pünktlich,pontos,pünktlich,időben,in time,pontosan,accurate,genau
160,opening of line,"engpass, engstelle",vonal megnyitása,eröffnung der linie,a vonal megnyitása,"bottleneck, bottleneck","szűk keresztmetszet, szűk keresztmetszet",open a line,öffne eine zeile
161,operating mode,betriebsart,üzemmód (pl. vonatkövetés),betriebsart,üzemmód,operating mode,üzemmód,mode (eg train tracking),modus (zb zugverfolgung)
162,operating track,betriebsgleis,üzemelő vágány,betriebsspur,működési pálya,operational track,operatív pálya,operating track,betriebsspur
163,operational restrictions,betriebliche einschränkungen,forgalmi korlátozás,betriebsbeschränkungen,működési korlátozások,operational restrictions,működési korlátozások,traffic restriction,verkehrsbeschränkung
164,operational rules/priority rules,priorisierungsregeln,forgalmi szabályok,betriebsregeln / prioritätsregeln,működési szabályok / elsőbbségi szabályok,prioritization rules,rangsorolási szabályok,traffic rules,verkehrsregeln
165,operation difficulties,betriebsstörung,forgalmi nehézmény,bedienungsschwierigkeiten,működési nehézségek,breakdown,meghibásodás,traffic difficulty,verkehrsschwierigkeiten
166,optional stop,engpass,feltételes megálló,optionaler stopp,opcionális stop,bottleneck,palacknyak,conditional stop,bedingter stopp
167,out-of-gauge load,außerhalb des lademaßes,űrszelvényen túlérő rakomány,last außerhalb des messbereichs,méret nélküli terhelés,outside the loading gauge,a rakománymérőn kívül,cargo overload on gauge,ladungsüberladung am manometer
168,overhead line,fahrleitung,felsővezeték,oberleitung,felsővezeték,catenary,láncolat,catenary,catenary
169,overhead line failure,fahrleitungsstörung,felsővezetéki hiba,ausfall der freileitung,felsővezeték meghibásodása,catenary system,felsővezeték rendszer,overhead line failure,ausfall der freileitung
170,overhead line irregularity,unregelmässigkeit an der fahrleitung,felsővezetéki zavar,unregelmäßigkeit der freileitung,a felsővezeték szabálytalansága,irregularity on the overhead line,szabálytalanság a felsővezetéken,overhead line interference,oberleitungsstörungen
171,overhead line section,fahrleitungssektor,tápszakasz,freileitungsabschnitt,felsővezeték-szakasz,catenary sector,felsővezeték szektor,tápszakasz,tápszakasz
172,overhead line works,fahrleitungsarbeiten,felsővezetékes villamos üzemi munka,freileitung funktioniert,a felsővezeték működik,overhead wire,felsővezeték,overhead electrical work,overhead-elektroarbeiten
173,overloaded route,überlastete strecke,túlterhelt útvonal,überladene route,túlterhelt útvonal,overloaded route,túlterhelt útvonal,overloaded route,überladene route
174,pantograph,stromabnehmer,áramszedő,pantograph,gólyaorr,pantograph,gólyaorr,pantograph,pantograph
175,park a train,zug parken/hinterstellen,vonat félreállítása,parke einen zug,parkoljon egy vonatot,park / hide the train,parkolás / elrejtés a vonaton,train set aside,zug beiseite legen
176,passengers,reisende,utasok,passagiere,az utasok,traveler,utazó,passengers,passagiere
177,passenger coaches,reisezugwagen,személyszállító kocsik,reisezugwagen,utasok,coaches,edzők,passenger cars,personenkraftwagen
178,passenger train,personenzug,személyszállító vonat,personenzug,utasszállító vonat,passenger train,személyvonat,passenger train,personenzug
179,personal accident,personenunfall,személyi sérüléssel járó baleset,persönlicher unfall,személyes baleset,personal accident,baleset,personal injury accident,personenschaden unfall
180,perturbation,störung,zavar,störung,zavarkeltés,disorder,rendetlenség,confusion,störung
181,perturbation axle counter,achszählerstörungen,tengelyszámláló zavara,störachsenzähler,perturbációs tengely számláló,achszählerstörungen,achszählerstörungen,axle counter fault,achszählerfehler
182,platform,bahnsteig,peron,plattform,emelvény,platform,emelvény,deck,deck
183,platform length,änge des perrons,peronhossz,plattformlänge,a platform hossza,length of the perron,a perron hossza,platform length,plattformlänge
